Idcode,aplt2010,acos2010,aper2010,aper10%,prod2010,rend2010,prec2010,valo2010,POBTOT10,Pob_rur10,Pob_rur%,P5_HLI10,P5_HL%I10,Categorie
7025,,,,,,,,,7332,4203,57.3,5149,70.23,NA
8001,,,,,,,,,11457,2882,25.2,32,0.28,NA
8004,,,,,,,,,10688,3553,33.2,54,0.51,NA
8005,,,,,,,,,23975,5653,23.6,445,1.86,NA
8010,,,,,,,,,22378,4424,19.8,796,3.56,NA
8011,,,,,,,,,48748,8527,17.5,620,1.27,NA
8014,,,,,,,,,2284,2284,100,13,0.57,NA
8016,,,,,,,,,3982,3982,100,11,0.28,NA
8019,,,,,,,,,819543,10311,1.3,6419,0.78,NA
8021,,,,,,,,,137935,13019,9.4,1161,0.84,NA
8022,,,,,,,,,2911,2911,100,64,2.2,NA
8023,,,,,,,,,5892,5892,100,176,2.99,NA
8024,,,,,,,,,3937,3937,100,21,0.53,NA
8026,,,,,,,,,3209,3209,100,44,1.37,NA
8028,,,,,,,,,6458,3436,53.2,22,0.34,NA
8036,,,,,,,,,41265,6984,16.9,397,0.96,NA
8037,,,,,,,,,1332131,7644,0.6,6574,0.49,NA
8038,,,,,,,,,4953,4953,100,20,0.4,NA
8039,,,,,,,,,4025,4025,100,17,0.42,NA
8042,,,,,,,,,1601,1601,100,22,1.37,NA
8045,,,,,,,,,43833,12555,28.6,420,0.96,NA
8049,,,,,,,,,2849,2849,100,319,11.2,NA
8050,,,,,,,,,59337,3784,6.4,285,0.48,NA
8053,,,,,,,,,4799,4799,100,7,0.15,NA
8055,,,,,,,,,16785,8595,51.2,241,1.44,NA
8057,,,,,,,,,2290,2290,100,118,5.15,NA
8058,,,,,,,,,2983,2983,100,22,0.74,NA
8059,,,,,,,,,4753,504,10.6,11,0.23,NA
8061,,,,,,,,,3662,3662,100,36,0.98,NA
8062,,,,,,,,,32325,16383,50.7,192,0.59,NA
8064,,,,,,,,,1869,1869,100,91,4.87,NA
9002,,,,,,,,,414711,0,0,2995,0.72,NA
9003,,,,,,,,,620416,0,0,8213,1.32,NA
9004,,,,,,,,,186391,2863,1.5,2049,1.1,NA
9005,,,,,,,,,1185772,0,0,14849,1.25,NA
9006,,,,,,,,,384326,0,0,3693,0.96,NA
9007,,,,,,,,,1815786,0,0,30027,1.65,NA
9014,,,,,,,,,385439,0,0,3956,1.03,NA
9015,,,,,,,,,531831,0,0,8402,1.58,NA
9016,,,,,,,,,372889,0,0,3971,1.06,NA
9017,,,,,,,,,430978,0,0,4621,1.07,NA
10007,,,,,,,,,327985,57355,17.5,561,0.17,NA
10015,,,,,,,,,12411,8789,70.8,18,0.15,NA
10036,,,,,,,,,22244,10105,45.4,25,0.11,NA
14019,,,,,,,,,6820,6820,100,3777,55.38,NA
14025,,,,,,,,,18091,4835,26.7,271,1.5,NA
14031,,,,,,,,,3771,3771,100,45,1.19,NA
14039,,,,,,,,,1495189,7,0,5471,0.37,NA
14041,,,,,,,,,6084,2437,40.1,14,0.23,NA
14076,,,,,,,,,3405,3405,100,96,2.82,NA
14081,,,,,,,,,3726,3726,100,2,0.05,NA
14125,,,,,,,,,17626,7852,44.5,54,0.31,NA
15020,,,,,,,,,278064,105,0,1609,0.58,NA
15024,,,,,,,,,140059,6742,4.8,1088,0.78,NA
15053,,,,,,,,,50240,1255,2.5,779,1.55,NA
15058,,,,,,,,,1110565,2689,0.2,14316,1.29,NA
17011,,,,,,,,,196953,7327,3.7,1961,1,NA
19001,,,,,,,,,2791,2791,100,4,0.14,NA
19002,,,,,,,,,3443,3443,100,8,0.23,NA
19005,,,,,,,,,18480,1852,10,35,0.19,NA
19010,,,,,,,,,16092,2502,15.5,244,1.52,NA
19011,,,,,,,,,7855,686,8.7,16,0.2,NA
19013,,,,,,,,,10864,1867,17.2,25,0.23,NA
19015,,,,,,,,,1716,1716,100,7,0.41,NA
19016,,,,,,,,,3345,3345,100,29,0.87,NA
19019,,,,,,,,,122659,32,0,2650,2.16,NA
19020,,,,,,,,,5527,1600,28.9,33,0.6,NA
19022,,,,,,,,,14437,8104,56.1,42,0.29,NA
19023,,,,,,,,,1277,1277,100,0,0,NA
19025,,,,,,,,,55213,1567,2.8,1066,1.93,NA
19026,,,,,,,,,678006,460,0.1,3330,0.49,NA
19028,,,,,,,,,1594,1594,100,12,0.75,NA
19031,,,,,,,,,256970,11182,4.4,3167,1.23,NA
19034,,,,,,,,,5488,2413,44,206,3.75,NA
19036,,,,,,,,,7095,7095,100,14,0.2,NA
19039,,,,,,,,,1135550,38,0,11382,1,NA
19040,,,,,,,,,1034,1034,100,0,0,NA
19044,,,,,,,,,34671,1603,4.6,50,0.14,NA
19046,,,,,,,,,443273,0,0,1928,0.43,NA
19047,,,,,,,,,16604,80,0.5,50,0.3,NA
20109,,,,,,,,,1233,1233,100,102,8.27,NA
20558,,,,,,,,,1543,1543,100,232,15.04,NA
21013,,,,,,,,,18920,703,3.7,8917,47.13,NA
21021,,,,,,,,,1228,1228,100,3,0.24,NA
23010,,,,,,,,,,,,,,NA
25001,,,,,,,,,416299,81358,19.5,5188,1.25,NA
25011,,,,,,,,,285912,103619,36.2,2012,0.7,NA
25017,,,,,,,,,88282,70851,80.3,1275,1.44,NA
25018,,,,,,,,,135603,62707,46.2,2012,1.48,NA
26002,,,,,,,,,79138,1884,2.4,440,0.56,NA
26004,,,,,,,,,9049,1122,12.4,48,0.53,NA
26007,,,,,,,,,625,625,100,4,0.64,NA
26008,,,,,,,,,1252,1252,100,0,0,NA
26011,,,,,,,,,1646,1646,100,0,0,NA
